FromCRS,ToCRS,TravelTime,TSys
GNW,BAK,67.50308642,PuT-Aux
HKC,BAK,55.65802469,PuT-Aux
HRY,BAK,55.65175439,PuT-Aux
HRW,BAK,54.6,PuT-Aux
HOH,BAK,55.66259843,PuT-Aux
HTE,BAK,65.43761905,PuT-Aux
HDL,BAK,63.21470588,PuT-Aux
HHY,BAK,30.86871345,PuT-Aux
HPA,BAK,51.56944444,PuT-Aux
IMW,BAK,20.53143939,PuT-Aux
KPA,BAK,26.02743056,PuT-Aux
KTN,BAK,41.88913858,PuT-Aux
KBN,BAK,46.30189873,PuT-Aux
LEW,BAK,41.85909091,PuT-Aux
LHS,BAK,43.60505051,PuT-Aux
BFR,BAK,28.40416667,PuT-Aux
LBG,BAK,36.11018519,PuT-Aux
CST,BAK,31.15672043,PuT-Aux
CHX,BAK,31.22928922,PuT-Aux
EUS,BAK,28.55061728,PuT-Aux
FST,BAK,60.70736434,PuT-Aux
LOF,BAK,52.36,PuT-Aux
KGX,BAK,41.88333333,PuT-Aux
LST,BAK,47.55709524,PuT-Aux
MYB,BAK,30.82246377,PuT-Aux
PAD,BAK,33.58658192,PuT-Aux
STP,BAK,55.11497585,PuT-Aux
VIC,BAK,30.53009709,PuT-Aux
WAT,BAK,31.71706827,PuT-Aux
WAE,BAK,53.04205426,PuT-Aux
MOG,BAK,49.72800224,PuT-Aux
NXG,BAK,54.88611111,PuT-Aux
NWD,BAK,38.26217949,PuT-Aux
OLD,BAK,46.83186583,PuT-Aux
PNE,BAK,33.31929825,PuT-Aux
PUT,BAK,16.76666667,PuT-Aux
REC,BAK,47.46111111,PuT-Aux
RMD,BAK,23.36981982,PuT-Aux
RIC,BAK,78.01666667,PuT-Aux
RMF,BAK,63.35,PuT-Aux
SVS,BAK,36.32231638,PuT-Aux
SPB,BAK,37.3025641,PuT-Aux
SLV,BAK,44.06985816,PuT-Aux
SOH,BAK,45.44155844,PuT-Aux
SRU,BAK,61.32797619,PuT-Aux
SBU,BAK,49.07916667,PuT-Aux
SMH,BAK,43.3327044,PuT-Aux
SKW,BAK,45.81603774,PuT-Aux
SRA,BAK,50.05681818,PuT-Aux
SFA,BAK,56.79626168,PuT-Aux
SYD,BAK,43.88611111,PuT-Aux
TEO,BAK,54.2125,PuT-Aux
TOM,BAK,39.29011299,PuT-Aux
TUR,BAK,51.82916667,PuT-Aux
UPM,BAK,72.49719101,PuT-Aux
VXH,BAK,20.55653595,PuT-Aux
WNP,BAK,57.30365854,PuT-Aux
WFJ,BAK,65.53333333,PuT-Aux
WMB,BAK,45.54927536,PuT-Aux
WBP,BAK,24.16885246,PuT-Aux
WCY,BAK,42.19656863,PuT-Aux
WEH,BAK,45.47240437,PuT-Aux
WHD,BAK,35.20310734,PuT-Aux
WHL,BAK,43.50319149,PuT-Aux
WIJ,BAK,36.77318841,PuT-Aux
WIM,BAK,19.37222222,PuT-Aux
WGR,BAK,60.85,PuT-Aux
WWA,BAK,80.2042328,PuT-Aux
AMR,BET,78.79462366,PuT-Aux
ANY,BET,58.69806202,PuT-Aux
BAL,BET,41.17777778,PuT-Aux
BKG,BET,42.23129032,PuT-Aux
BAK,BET,54.51846307,PuT-Aux
BRX,BET,42.02655502,PuT-Aux
BCY,BET,38.88611111,PuT-Aux
BCV,BET,20.45833333,PuT-Aux
BSH,BET,69.88,PuT-Aux
CBH,BET,5.827777778,PuT-Aux
CPK,BET,74.46855346,PuT-Aux
CFO,BET,75.92056738,PuT-Aux
CHN,BET,39.52368421,PuT-Aux
CLW,BET,72.42056738,PuT-Aux
CTK,BET,26.72028986,PuT-Aux
CLJ,BET,62.42916667,PuT-Aux
CPT,BET,12.41666667,PuT-Aux
CYP,BET,50.66666667,PuT-Aux
DMK,BET,52.86060606,PuT-Aux
EAL,BET,42.49924242,PuT-Aux
EDR,BET,26.69444444,PuT-Aux
EPH,BET,28.51388889,PuT-Aux
ZFD,BET,20.09722222,PuT-Aux
FPK,BET,26.45245098,PuT-Aux
FOH,BET,43.28611111,PuT-Aux
GFD,BET,54.65990991,PuT-Aux
GNW,BET,46.62531646,PuT-Aux
HKC,BET,10.34011494,PuT-Aux
HRY,BET,35.46,PuT-Aux
HRW,BET,60.78656463,PuT-Aux
HOH,BET,52.18450704,PuT-Aux
HTE,BET,71.46855346,PuT-Aux
HDL,BET,69.46855346,PuT-Aux
HHY,BET,20.26125,PuT-Aux
HPA,BET,42.58611111,PuT-Aux
IMW,BET,64.27981221,PuT-Aux
KPA,BET,60.29912281,PuT-Aux
KTN,BET,35.3326972,PuT-Aux
KBN,BET,49.70977011,PuT-Aux
LEW,BET,47.10327468,PuT-Aux
LHS,BET,28.27298851,PuT-Aux
BFR,BET,31.71761006,PuT-Aux
LBG,BET,25.09611872,PuT-Aux
CST,BET,27.67604167,PuT-Aux
CHX,BET,34.74211712,PuT-Aux
EUS,BET,33.21620626,PuT-Aux
FST,BET,51.24119497,PuT-Aux
LOF,BET,8.047222222,PuT-Aux
KGX,BET,39.14444444,PuT-Aux
LST,BET,31.30854701,PuT-Aux
MYB,BET,37.06260163,PuT-Aux
PAD,BET,30.97,PuT-Aux
STP,BET,33.01666667,PuT-Aux
VIC,BET,37.16155203,PuT-Aux
WAT,BET,30.85666667,PuT-Aux
WAE,BET,43.77727273,PuT-Aux
MOG,BET,17.61944444,PuT-Aux
NXG,BET,35.91666667,PuT-Aux
NWD,BET,52.84013605,PuT-Aux
OLD,BET,24.04210526,PuT-Aux
PMR,BET,47.6525641,PuT-Aux
