TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality,Shape
SHBRYNS_1,SHBRYNS,1,1995-01-01,0,False,True,110844,7,110844007,593922.9996254946,185105.20723315593,2,"POLYGON ((593815.8502 185172.7885, 593814.7329 185171.1312, 593869.7976 185136.801, 593984.8306 185063.4636, 594006.6669 185049.4443, 594027.2079 185037.1571, 594024.3189 185032.2474, 594025.9669 185031.286, 594030.1365 185037.759, 594011.9702 185048.244, 594005.719 185055.1648, 593985.0289 185068.2703, 593954.5228 185087.6261, 593929.2465 185103.5296, 593905.8948 185118.5046, 593876.6786 185137.5649, 593869.5544 185138.9853, 593840.936 185157.4896, 593815.8502 185172.7885))"
SHDN_1,SHDN,1,2012-12-09,0,True,False,105117,7,105117007,419928.56535,290994.2174,2,"LINESTRING (419890.3793 290999.4747, 419966.7514 290988.9601)"
SHDN_2,SHDN,2,2012-12-09,0,True,False,105117,70,105117070,419929.85404999997,291003.61659999995,2,"LINESTRING (419891.8001 291008.9578, 419967.908 290998.2754)"
SHEFFLD_1,SHEFFLD,1,1995-01-01,0,False,True,105611,7,105611007,435841.0216095169,386859.30425902246,1,"POLYGON ((435851.9743 386954.674, 435845.9524 386954.8401, 435845.627 386948.5628, 435843.2083 386946.4084, 435840.6786 386943.9862, 435840.5613 386941.8937, 435840.0872 386933.2789, 435839.0372 386916.3265, 435838.8439 386912.8316, 435838.0458 386898.6514, 435837.1778 386883.1468, 435836.4683 386870.447, 435835.6006 386855.788, 435836.0489 386847.4916, 435836.1966 386843.7767, 435836.9095 386825.9476, 435838.3524 386826.0585, 435839.4735 386814.9858, 435839.0947 386814.9273, 435840.4406 386805.8143, 435841.6764 386803.3871, 435842.096 386801.5545, 435842.9973 386797.6006, 435844.7953 386792.0624, 435846.7445 386786.7701, 435851.8095 386775.8827, 435856.1936 386767.0708, 435857.296 386764.6871, 435860.1869 386765.1093, 435850.3195 386806.801, 435848.4668 386817.8349, 435847.3355 386826.7158, 435846.436 386838.391, 435846.1731 386848.5802, 435846.2617 386861.5534, 435846.8059 386873.2284, 435851.9743 386954.674))"
SHEFFLD_1A,SHEFFLD,1A,1995-01-01,0,False,True,105611,55,105611055,435841.0216095169,386859.30425902246,2,"POLYGON ((435851.9743 386954.674, 435845.9524 386954.8401, 435845.627 386948.5628, 435843.2083 386946.4084, 435840.6786 386943.9862, 435840.5613 386941.8937, 435840.0872 386933.2789, 435839.0372 386916.3265, 435838.8439 386912.8316, 435838.0458 386898.6514, 435837.1778 386883.1468, 435836.4683 386870.447, 435835.6006 386855.788, 435836.0489 386847.4916, 435836.1966 386843.7767, 435836.9095 386825.9476, 435838.3524 386826.0585, 435839.4735 386814.9858, 435839.0947 386814.9273, 435840.4406 386805.8143, 435841.6764 386803.3871, 435842.096 386801.5545, 435842.9973 386797.6006, 435844.7953 386792.0624, 435846.7445 386786.7701, 435851.8095 386775.8827, 435856.1936 386767.0708, 435857.296 386764.6871, 435860.1869 386765.1093, 435850.3195 386806.801, 435848.4668 386817.8349, 435847.3355 386826.7158, 435846.436 386838.391, 435846.1731 386848.5802, 435846.2617 386861.5534, 435846.8059 386873.2284, 435851.9743 386954.674))"
SHEFFLD_1B,SHEFFLD,1B,1995-01-01,0,False,True,105611,57,105611057,435851.65559433127,387030.26100371574,2,"POLYGON ((435851.9743 386954.674, 435856.2206 387021.6049, 435857.6705 387035.801, 435859.3712 387045.8381, 435861.0804 387054.7404, 435862.9693 387061.8751, 435865.5875 387071.0958, 435871.7265 387089.822, 435877.5809 387102.1712, 435875.6426 387102.4903, 435869.1145 387090.3809, 435856.1906 387055.6493, 435851.9062 387056.5516, 435849.0729 387048.4975, 435846.9659 387035.8762, 435845.2665 387023.8922, 435844.1258 387003.9686, 435844.0555 387002.6997, 435842.9434 386983.3883, 435845.5724 386983.2412, 435844.6474 386967.3578, 435842.0051 386967.516, 435841.7527 386963.0415, 435844.1221 386962.9036, 435846.4049 386962.7761, 435846.0918 386957.5224, 435845.9524 386954.8401, 435851.9743 386954.674))"
SHEFFLD_2,SHEFFLD,2,1995-01-01,0,False,True,105611,70,105611070,435863.40593152196,386851.32811003196,1,"POLYGON ((435869.3238 386825.7687, 435866.8675 386825.9616, 435868.0804 386841.5912, 435870.7298 386841.3886, 435870.7506 386845.6833, 435865.6589 386845.9899, 435868.0881 386882.1, 435872.0818 386881.8408, 435872.6352 386887.8639, 435868.495 386888.1443, 435870.8519 386923.2414, 435875.1784 386922.9513, 435877.5274 386946.7335, 435872.4692 386947.0181, 435864.7275 386947.6162, 435860.6592 386876.4923, 435860.8266 386846.2984, 435860.8352 386844.2625, 435862.4525 386804.4113, 435865.8895 386774.6981, 435868.6867 386754.8709, 435872.6224 386755.2455, 435869.9472 386773.9054, 435868.9635 386780.8404, 435868.302 386787.4107, 435866.6002 386802.2507, 435865.5943 386822.7478, 435870.5051 386822.629, 435869.3238 386825.7687))"
SHEFFLD_2A,SHEFFLD,2A,1995-01-01,0,False,True,105611,76,105611076,435863.40593152196,386851.32811003196,2,"POLYGON ((435869.3238 386825.7687, 435866.8675 386825.9616, 435868.0804 386841.5912, 435870.7298 386841.3886, 435870.7506 386845.6833, 435865.6589 386845.9899, 435868.0881 386882.1, 435872.0818 386881.8408, 435872.6352 386887.8639, 435868.495 386888.1443, 435870.8519 386923.2414, 435875.1784 386922.9513, 435877.5274 386946.7335, 435872.4692 386947.0181, 435864.7275 386947.6162, 435860.6592 386876.4923, 435860.8266 386846.2984, 435860.8352 386844.2625, 435862.4525 386804.4113, 435865.8895 386774.6981, 435868.6867 386754.8709, 435872.6224 386755.2455, 435869.9472 386773.9054, 435868.9635 386780.8404, 435868.302 386787.4107, 435866.6002 386802.2507, 435865.5943 386822.7478, 435870.5051 386822.629, 435869.3238 386825.7687))"
SHEFFLD_2B,SHEFFLD,2B,1995-01-01,0,False,True,105611,77,105611077,435874.55737750314,387042.03954147187,2,"POLYGON ((435902.8639 387133.5025, 435901.5299 387133.9597, 435896.2971 387121.2481, 435892.857 387112.5108, 435889.5302 387102.8731, 435883.1926 387083.144, 435877.4582 387062.8075, 435873.78 387048.5834, 435870.7631 387030.4703, 435869.3982 387019.134, 435868.8382 387014.8687, 435868.2308 387008.9452, 435864.7275 386947.6162, 435872.4692 386947.0181, 435873.1926 386959.6178, 435877.4388 386959.3828, 435880.4194 386989.389, 435874.6285 386989.8015, 435870.2558 386990.0467, 435871.8592 387008.5942, 435874.3681 387029.6741, 435877.5695 387048.9234, 435881.6388 387065.9764, 435889.8118 387095.5211, 435895.3391 387114.1872, 435902.8639 387133.5025))"
SHEFFLD_2C,SHEFFLD,2C,1995-01-01,0,False,True,105611,78,105611078,435869.9291641095,386789.0696613518,2,"POLYGON ((435872.6224 386755.2455, 435876.4577 386755.7082, 435875.6914 386760.2863, 435873.422 386774.5212, 435872.5128 386781.2899, 435871.8164 386788.0825, 435870.7395 386802.0927, 435870.5051 386822.629, 435865.5943 386822.7478, 435866.6002 386802.2507, 435868.302 386787.4107, 435868.9635 386780.8404, 435869.9472 386773.9054, 435872.6224 386755.2455))"
