TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality
DOCKYDP_2,DOCKYDP,2,1999-01-01,0,False,False,10350,70,10350070,245398.52742117792,55856.59073213796,2
DONC_0,DONC,0,2015-12-13,0,False,False,13691,1,13691001,457140.8066288261,403396.7940989336,2
DONC_1,DONC,1,1995-01-01,0,False,True,13691,7,13691007,457145.71867899847,403170.800173697,2
DONC_1A,DONC,1A,1995-01-01,0,False,True,13691,55,13691055,457145.71867899847,403170.800173697,1
DONC_1B,DONC,1B,1995-01-01,0,False,True,13691,57,13691057,457145.71867899847,403170.800173697,1
DONC_2,DONC,2,1995-01-01,0,False,True,13691,70,13691070,457132.98330274934,403008.8426291846,2
DONC_2WG,DONC,2WG,1998-05-23,0,False,False,13691,88,13691088,457132.98330274934,403008.8426291846,1
DONC_3,DONC,3,2021-05-16,0,False,False,13691,90,13691090,457133.67162078124,403237.8376206391,1
DONC_3A,DONC,3A,1995-01-01,0,False,True,13691,91,13691091,457128.2866337339,403025.0033146665,2
DONC_3B,DONC,3B,1995-01-01,0,False,True,13691,92,13691092,457133.67162078124,403237.8376206391,2
DONC_4,DONC,4,1995-01-01,0,False,True,13691,104,13691104,457106.7195909333,403162.92633629683,2
DONC_5,DONC,5,1995-01-01,0,False,True,13691,117,13691117,457107.34111824306,403048.46060304146,2
DONC_6,DONC,6,1995-01-01,0,False,True,13691,128,13691128,457108.9519082076,403255.60471743415,2
DONC_7,DONC,7,1995-01-01,0,False,True,13691,140,13691140,457094.5714131969,403262.68601518904,2
DONC_8,DONC,8,1995-01-01,0,False,True,13691,151,13691151,457095.3008661555,403174.42198043165,2
DORIDGE_1,DORIDGE,1,2006-11-06,0,False,False,12883,7,12883007,416944.4552031852,274884.6650349513,2
DORIDGE_2,DORIDGE,2,2006-11-06,0,False,False,12883,70,12883070,416942.50860691664,274869.95961155224,2
DORIDGE_3,DORIDGE,3,2006-11-06,0,False,False,12883,90,12883090,416934.5868224659,274871.2430435413,2
DORKING_1,DORKING,1,1995-01-01,0,False,True,14468,7,14468007,517101.94190038193,150405.54975671877,2
DORKING_2,DORKING,2,1995-01-01,0,False,True,14468,70,14468070,517109.7021594825,150421.81596209726,2
DORKING_3,DORKING,3,1995-01-01,0,False,True,14468,90,14468090,517109.7021594825,150421.81596209726,2
DOVERP_1,DOVERP,1,1995-01-01,0,False,True,15921,7,15921007,631348.3842903145,141533.56481409603,2
DOVERP_2,DOVERP,2,1995-01-01,0,False,True,15921,70,15921070,631342.7485261338,141515.059496227,2
DOVERP_3,DOVERP,3,1995-01-01,0,False,True,15921,90,15921090,631342.7327158196,141499.72051466221,2
DOVYJN_1,DOVYJN,1,2018-09-12,0,False,False,10660,7,10660007,269694.7211688916,298058.1267597554,2
DOVYJN_2,DOVYJN,2,2018-09-12,0,False,False,10660,70,10660070,269691.44814593415,297948.2851135967,2
DOWNHAM_1,DOWNHAM,1,2019-12-15,0,False,False,15518,7,15518007,560307.9328631923,303391.0179509449,2
DOWNHAM_2,DOWNHAM,2,2019-12-15,0,False,False,15518,70,15518070,560299.1857934375,303386.3222229489,2
DRBY_1,DRBY,1,1995-01-01,0,False,True,13201,7,13201007,436200.03681155294,335548.5260473961,2
DRBY_1A,DRBY,1A,1995-01-01,0,False,True,13201,55,13201055,436200.03681155294,335548.5260473961,1
DRBY_1B,DRBY,1B,1995-01-01,0,False,True,13201,57,13201057,436200.03681155294,335548.5260473961,1
DRBY_2,DRBY,2,1995-01-01,0,False,True,13201,70,13201070,436214.237328465,335549.46226547717,2
DRBY_2A,DRBY,2A,1995-01-01,0,False,True,13201,76,13201076,436214.237328465,335549.46226547717,1
DRBY_2B,DRBY,2B,1995-01-01,0,False,True,13201,77,13201077,436214.237328465,335549.46226547717,1
DRBY_3,DRBY,3,1995-01-01,0,False,True,13201,90,13201090,436209.5307424719,335633.31399559526,1
DRBY_3A,DRBY,3A,1995-01-01,0,False,True,13201,91,13201091,436229.1728047832,335466.47546115424,2
DRBY_3B,DRBY,3B,1995-01-01,0,False,True,13201,92,13201092,436209.5307424719,335633.31399559526,2
DRBY_4,DRBY,4,1995-01-01,0,False,True,13201,104,13201104,436224.4821486564,335621.56365600886,1
DRBY_4A,DRBY,4A,1995-01-01,0,False,True,13201,105,13201105,436242.12033154117,335467.8248040106,2
DRBY_4B,DRBY,4B,1995-01-01,0,False,True,13201,106,13201106,436224.4821486564,335621.56365600886,2
DRBY_5,DRBY,5,1995-01-01,0,False,True,13201,117,13201117,436241.69411422964,335538.5173937845,2
DRBY_5A,DRBY,5A,2018-05-20,0,False,False,13201,118,13201118,436241.69411422964,335538.5173937845,1
DRBY_5B,DRBY,5B,2018-05-20,0,False,False,13201,119,13201119,436241.69411422964,335538.5173937845,1
DRBY_6,DRBY,6,1995-01-01,0,False,True,13201,128,13201128,436253.1194413169,335554.90431287757,2
DRBY_6A,DRBY,6A,1995-01-01,0,False,True,13201,129,13201129,436253.1194413169,335554.90431287757,1
DRBY_6B,DRBY,6B,1995-01-01,0,False,True,13201,130,13201130,436253.1194413169,335554.90431287757,1
DRCHS_1,DRCHS,1,1995-01-01,0,False,False,12089,7,12089007,369188.95257111266,90028.7536764291,2
DRCHS_2,DRCHS,2,1995-01-01,0,False,False,12089,70,12089070,369234.9798432705,90042.53528751529,2
DREMJ_1,DREMJ,1,2021-12-12,0,False,False,11823,7,11823007,351124.1689851337,679415.2426300613,2
DREMJ_1W,DREMJ,1W,2021-12-12,0,False,False,11823,68,11823068,351124.1689851337,679415.2426300613,1
DREMJ_2,DREMJ,2,2021-12-12,0,False,False,11823,70,11823070,351133.1882924563,679408.7290543735,2
DRHM_1,DRHM,1,2001-11-15,0,False,False,13017,7,13017007,427017.1508105616,542825.3263372539,2
DRHM_2,DRHM,2,2001-11-15,0,False,False,13017,70,13017070,427002.19454027223,542847.711762537,2
DRIGG_1,DRIGG,1,1995-01-01,0,False,False,11075,7,11075007,306309.92095,498910.52170000004,2
DRIGG_2,DRIGG,2,1995-01-01,0,False,False,11075,70,11075070,306305.2393,498904.6572,2
DUDESTN_1,DUDESTN,1,2011-05-22,0,False,False,12740,7,12740007,408822.1106731229,287801.62465319084,2
DUDESTN_2,DUDESTN,2,2011-05-22,0,False,False,12740,70,12740070,408815.7026,287800.02225000004,2
DUIRNSH_1,DUIRNSH,1,2019-05-19,0,False,False,10032,7,10032007,177838.20389850467,831512.0172572039,2
DULNGHM_1,DULNGHM,1,2016-05-15,0,False,False,15541,7,15541007,561765.723144656,258556.80820490804,2
DULNGHM_2,DULNGHM,2,2016-05-15,0,False,False,15541,70,15541070,561776.2363167328,258552.4712982449,2
DUMFRES_1,DUMFRES,1,2005-11-12,0,False,False,10995,7,10995007,297643.41372935433,576535.9136390912,2
DUMFRES_2,DUMFRES,2,2005-11-12,0,False,False,10995,70,10995070,297658.3298718411,576546.0791382164,2
DUNANE_1,DUNANE,1,2017-10-12,0,False,False,10798,7,10798007,278103.57904762565,700969.6596450458,2
DUNANE_2,DUNANE,2,2017-10-12,0,False,False,10798,70,10798070,278099.95750013704,700949.9409327549,2
DUNANE_3,DUNANE,3,2017-10-12,0,False,False,10798,90,10798090,278095.93402598426,700934.9196604213,2
DUNBAR_1,DUNBAR,1,2019-12-15,0,False,False,12071,7,12071007,367985.9466632453,678520.75151888,2
DUNBAR_2,DUNBAR,2,2019-12-15,0,False,False,12071,70,12071070,368159.61552320595,678410.652158955,2
DUNCRAG_1,DUNCRAG,1,2019-05-19,0,False,False,10039,7,10039007,181205.25754354586,833227.2075627111,2
DUNDETB_1,DUNDETB,1,1995-01-01,0,False,True,11632,7,11632007,340214.78641048644,729767.0680523302,2
DUNDETB_1N,DUNDETB,1N,2011-05-22,0,False,False,11632,64,11632064,340214.78641048644,729767.0680523302,1
DUNDETB_1S,DUNDETB,1S,2011-05-22,0,False,False,11632,66,11632066,340214.78641048644,729767.0680523302,1
DUNDETB_2,DUNDETB,2,1995-01-01,0,False,True,11632,70,11632070,340150.0873012302,729733.0784068005,2
DUNDETB_3,DUNDETB,3,1995-01-01,0,False,True,11632,90,11632090,340175.69253459363,729760.945121399,2
DUNDETB_4,DUNDETB,4,1995-01-01,0,False,True,11632,104,11632104,340236.41121801396,729799.0122588498,2
DUNKELD_1,DUNKELD,1,2015-12-13,0,False,False,11051,7,11051007,303144.46495546016,741625.8549549002,2
DUNKELD_2,DUNKELD,2,2015-12-13,0,False,False,11051,70,11051070,303134.4584924965,741616.4264498294,2
DURSLEY_1,DURSLEY,1,1999-01-01,0,False,False,12189,7,12189007,375277.1141188204,202167.08011455403,2
DURSLEY_2,DURSLEY,2,1999-01-01,0,False,False,12189,70,12189070,375277.6978775553,202156.5318799141,2
DVHL_1,DVHL,1,1995-01-01,0,False,False,12722,7,12722007,407446.09528892883,378120.4117942428,2
DWBY_1,DWBY,1,2016-05-15,0,False,False,12973,7,12973007,424284.0318575917,421774.641981634,2
DWBY_2,DWBY,2,2016-05-15,0,False,False,12973,70,12973070,424282.19016356394,421743.65970599547,2
DYCE_1,DYCE,1,2015-12-13,0,False,False,12423,7,12423007,388451.0056115138,812780.8204126835,2
DYCE_2,DYCE,2,2015-12-13,0,False,False,12423,70,12423070,388456.3762491183,812801.9319998532,2
EALINGB_1,EALINGB,1,2016-05-15,0,False,False,14489,7,14489007,518063.03447622934,180895.25366249803,2
EALINGB_2,EALINGB,2,2016-05-15,0,False,False,14489,70,14489070,518055.6302695599,180907.53818258317,2
EALINGB_3,EALINGB,3,2016-05-15,0,False,False,14489,90,14489090,518061.20628462714,180913.11355958512,2
EALINGB_4,EALINGB,4,2016-05-15,0,False,False,14489,104,14489104,518042.0033538045,180922.46639765805,2
EALINGB_5,EALINGB,5,2016-05-15,0,False,False,14489,117,14489117,518052.37077207374,180931.109070008,2
EALINGB_6,EALINGB,6,2016-05-15,0,False,False,14489,128,14489128,518052.06892564124,180935.53156874463,2
EALINGB_8,EALINGB,8,2016-05-15,0,False,False,14489,151,14489151,518010.79003907816,180951.12770676415,2
