TIPLOC_x,LocationName_x,StartDate,Easting,Northing,TimingPointType,ZoneResponsible,STANOX,OffNetwork,Quality,index,TIPLOC_y,LocationName_y
HRLGSSJ,Sundon South Jn,2013-08-12,503482.0,229703.0,O,8,62206,False,2,14246,HRLGS*,Sundon *
HRLGSUL,Sundon Up Loop,2013-08-12,503482.0,229703.0,O,8,62207,False,2,14246,HRLGS*,Sundon *
HRLNGRD,Harling Road,1995-01-01,597770.0,287950.0,O,3,48521,False,4,15765,HRLNGRD,Harling Road
HRLSCTX,Harlescott X,1995-01-01,350900.0,315900.0,M,5,64219,False,2,11819,HRLSCTX,Harlescott X
HRLWMDG,Harlow Mill D.G.L.,1995-01-01,547100.0,212400.0,O,3,47606,False,2,15365,HRLWMDG,Harlow Mill D.G.L.
HRLWMIL,Harlow Mill,1995-01-01,547160.0,212340.0,O,3,47603,False,4,15366,HRLWMIL,Harlow Mill
HRLWMLY,Harlow Mill Recp.,1995-01-01,547100.0,212200.0,O,3,47601,False,2,15364,HRLWMLY,Harlow Mill Recp.
HRLWTWN,Harlow Town,1995-01-01,544626.0,211232.0,T,3,47611,False,4,15323,HRLWTWN,Harlow Town
HRNBPK,Hornbeam Park,1995-01-01,431130.0,453860.0,O,7,16101,False,4,13103,HRNBPK,Hornbeam Park
HRNCHUR,Hornchurch,1995-01-01,556000.0,186750.0,O,3,0,False,2,15484,HRNCHUR,Hornchurch
HRNEBAY,Herne Bay,1995-01-01,617130.0,167450.0,O,3,89483,False,4,15843,HRNEBAY,Herne Bay
HRNS431,Hornsey Sig K431,1999-04-23,530900.0,189200.0,O,8,54203,False,3,14902,HRNS*,Hornsey*
HRNS448,Wood Green Signal K448,1999-12-02,530530.0,189696.0,O,8,54199,False,1,14890,HRNS4*,Wood Green Sig*
HRNS451,Wood Green Sig. K451,1995-01-01,530530.0,189696.0,O,8,54199,False,2,14890,HRNS4*,Wood Green Sig*
HRNS453,Wood Green Sig. K453,1997-01-01,530530.0,189696.0,O,8,54199,False,2,14890,HRNS4*,Wood Green Sig*
HRNSDR1,Hornsey Dn Rev SDG No 1,1998-05-24,530900.0,189200.0,O,8,54203,False,3,14902,HRNS*,Hornsey*
HRNSDR2,Hornsey Dn Rev SDG No 2,1998-05-24,530900.0,189200.0,O,8,54203,False,3,14902,HRNS*,Hornsey*
HRNSDRS,Hornsey Dn Reversing Sdgs,1996-01-07,530900.0,189200.0,O,8,54203,False,3,14902,HRNS*,Hornsey*
HRNSURS,Hornsey Up Reversing Sdgs,1999-04-23,530900.0,189200.0,O,8,54203,False,3,14902,HRNS*,Hornsey*
HRNSY,Hornsey,1995-01-01,530900.0,189200.0,O,8,54203,False,4,14902,HRNS*,Hornsey*
HRNSYCS,Hornsey C.H.S.,1995-01-01,531100.0,189100.0,O,8,54201,False,2,14909,HRNSYCS,Hornsey C.H.S.
HRNSYMD,Hornsey E.M.U.D.,1995-01-01,531150.0,188890.0,O,8,54208,False,2,14910,HRNSYMD,Hornsey E.M.U.D.
HRNSYRS,Hornsey R.R.L.,1999-04-23,530900.0,189200.0,O,8,54203,False,3,14902,HRNS*,Hornsey*
HROW,Harrow & Wealdstone,1995-01-01,515465.0,189460.0,T,5,72007,False,4,14429,HROW,Harrow & Wealdstone
HROWDC,Harrow & Wealdstone DC,1996-04-04,515465.0,189461.0,T,5,72017,False,4,14430,HROWDC,Harrow & Wealdstone DC
HRPNDN,Harpenden,1995-01-01,513735.0,214175.0,O,8,62422,False,4,14396,HRPNDN,Harpenden
HRPNDNJ,Harpenden Jn,1995-01-01,513980.0,213127.0,O,8,62423,False,2,14401,HRPNDNJ,Harpenden Jn
HRSLEY,Horsley,1995-01-01,509223.0,154518.0,O,3,87070,False,4,14339,HRSLEY,Horsley
HRSM,Harrietsham,1995-01-01,586620.0,152910.0,O,3,89406,False,4,15711,HRSM,Harrietsham
HRSTGRN,Hurst Green,1995-01-01,539970.0,151380.0,T,3,87753,False,4,15216,HRSTGRN,Hurst Green
HRTBJN,Hartburn Jn,1995-01-01,443600.0,518200.0,O,7,15227,False,2,13353,HRTBJN,Hartburn Jn
HRTH,Hartshill,1995-01-01,430000.0,295000.0,O,5,0,False,2,13077,HRTH,Hartshill
HRTLEPL,Hartlepool,1995-01-01,451200.0,532700.0,T,7,14225,False,4,13531,HRTL*,Hartlepool*
HRTLPSW,Hartlepool Sth Works,1995-01-01,451200.0,532700.0,O,7,14240,False,2,13531,HRTL*,Hartlepool*
HRTNRDJ,Horton Road Jn,1995-01-01,384300.0,218200.0,O,5,68103,False,2,12314,HRTNRDJ,Horton Road Jn
